workerid,exptid,trial_type,trial_num,condition,kind_type,kind_label,feature_label,response,n_correct,pass,pass_sound
01636a7bf35ed05c9efac81b10b12fcf,1,id,1,2accidental,bird,Fep,has white wings,1,3,TRUE,TRUE
01636a7bf35ed05c9efac81b10b12fcf,1,id,2,2accidental,artifact,Blicket,squeaks,1,3,TRUE,TRUE
01636a7bf35ed05c9efac81b10b12fcf,1,id,3,2accidental,flower,Dax,has a black center,1,3,TRUE,TRUE
01636a7bf35ed05c9efac81b10b12fcf,1,response,1,2accidental,bird,Fep,has white wings,0.48,3,TRUE,TRUE
01636a7bf35ed05c9efac81b10b12fcf,1,response,2,2accidental,artifact,Blicket,squeaks,0.84,3,TRUE,TRUE
01636a7bf35ed05c9efac81b10b12fcf,1,response,3,2accidental,flower,Dax,has a black center,0.75,3,TRUE,TRUE
027fbbda9adcb245e6df2d1f4bbcf843,1,id,1,4accidental,artifact,Blicket,squeaks,1,3,TRUE,TRUE
027fbbda9adcb245e6df2d1f4bbcf843,1,id,2,4accidental,bird,Fep,has white wings,1,3,TRUE,TRUE
027fbbda9adcb245e6df2d1f4bbcf843,1,id,3,4accidental,flower,Dax,has a black center,1,3,TRUE,TRUE
027fbbda9adcb245e6df2d1f4bbcf843,1,response,1,4accidental,artifact,Blicket,squeaks,1,3,TRUE,TRUE
027fbbda9adcb245e6df2d1f4bbcf843,1,response,2,4accidental,bird,Fep,has white wings,0.76,3,TRUE,TRUE
027fbbda9adcb245e6df2d1f4bbcf843,1,response,3,4accidental,flower,Dax,has a black center,1,3,TRUE,TRUE
033531a53debb026a5a45a59afb615ef,1,id,1,generic,artifact,Blicket,squeaks,1,3,TRUE,TRUE
033531a53debb026a5a45a59afb615ef,1,id,2,generic,flower,Dax,has a black center,1,3,TRUE,TRUE
033531a53debb026a5a45a59afb615ef,1,id,3,generic,bird,Fep,has white wings,1,3,TRUE,TRUE
033531a53debb026a5a45a59afb615ef,1,response,1,generic,artifact,Blicket,squeaks,0.98,3,TRUE,TRUE
033531a53debb026a5a45a59afb615ef,1,response,2,generic,flower,Dax,has a black center,0.98,3,TRUE,TRUE
033531a53debb026a5a45a59afb615ef,1,response,3,generic,bird,Fep,has white wings,0.99,3,TRUE,TRUE
037374fa55f120f2d0cf32f62894436c,1,id,1,4accidental,artifact,Blicket,squeaks,1,3,TRUE,TRUE
037374fa55f120f2d0cf32f62894436c,1,id,2,4accidental,flower,Dax,has a black center,1,3,TRUE,TRUE
037374fa55f120f2d0cf32f62894436c,1,id,3,4accidental,bird,Fep,has white wings,1,3,TRUE,TRUE
037374fa55f120f2d0cf32f62894436c,1,response,1,4accidental,artifact,Blicket,squeaks,0.99,3,TRUE,TRUE
037374fa55f120f2d0cf32f62894436c,1,response,2,4accidental,flower,Dax,has a black center,1,3,TRUE,TRUE
037374fa55f120f2d0cf32f62894436c,1,response,3,4accidental,bird,Fep,has white wings,0.48,3,TRUE,TRUE
0392d94490b228f5d3b848f083507a08,1,id,1,2pedagogical,bird,Fep,has white wings,1,3,TRUE,TRUE
0392d94490b228f5d3b848f083507a08,1,id,2,2pedagogical,flower,Dax,has a black center,1,3,TRUE,TRUE
0392d94490b228f5d3b848f083507a08,1,id,3,2pedagogical,artifact,Blicket,squeaks,1,3,TRUE,TRUE
0392d94490b228f5d3b848f083507a08,1,response,1,2pedagogical,bird,Fep,has white wings,0.97,3,TRUE,TRUE
0392d94490b228f5d3b848f083507a08,1,response,2,2pedagogical,flower,Dax,has a black center,0.97,3,TRUE,TRUE
0392d94490b228f5d3b848f083507a08,1,response,3,2pedagogical,artifact,Blicket,squeaks,1,3,TRUE,TRUE
09983c48b144f2bfe1f2bb6f70e43233,1,id,1,accidental,artifact,Blicket,squeaks,1,3,TRUE,TRUE
09983c48b144f2bfe1f2bb6f70e43233,1,id,2,accidental,bird,Fep,has white wings,1,3,TRUE,TRUE
09983c48b144f2bfe1f2bb6f70e43233,1,id,3,accidental,flower,Dax,has a black center,1,3,TRUE,TRUE
09983c48b144f2bfe1f2bb6f70e43233,1,response,1,accidental,artifact,Blicket,squeaks,0.77,3,TRUE,TRUE
09983c48b144f2bfe1f2bb6f70e43233,1,response,2,accidental,bird,Fep,has white wings,0.26,3,TRUE,TRUE
09983c48b144f2bfe1f2bb6f70e43233,1,response,3,accidental,flower,Dax,has a black center,0.22,3,TRUE,TRUE
09b63a7d55f28286abeebcef713b80b9,1,id,1,4accidental,bird,Fep,has white wings,1,3,TRUE,TRUE
09b63a7d55f28286abeebcef713b80b9,1,id,2,4accidental,flower,Dax,has a black center,1,3,TRUE,TRUE
09b63a7d55f28286abeebcef713b80b9,1,id,3,4accidental,artifact,Blicket,squeaks,1,3,TRUE,TRUE
09b63a7d55f28286abeebcef713b80b9,1,response,1,4accidental,bird,Fep,has white wings,0.98,3,TRUE,TRUE
09b63a7d55f28286abeebcef713b80b9,1,response,2,4accidental,flower,Dax,has a black center,0.99,3,TRUE,TRUE
09b63a7d55f28286abeebcef713b80b9,1,response,3,4accidental,artifact,Blicket,squeaks,0.98,3,TRUE,TRUE
0a053a020885bf42ef821cc479d85309,1,id,1,2pedagogical,artifact,Blicket,squeaks,1,3,TRUE,TRUE
0a053a020885bf42ef821cc479d85309,1,id,2,2pedagogical,flower,Dax,has a black center,1,3,TRUE,TRUE
0a053a020885bf42ef821cc479d85309,1,id,3,2pedagogical,bird,Fep,has white wings,1,3,TRUE,TRUE
0a053a020885bf42ef821cc479d85309,1,response,1,2pedagogical,artifact,Blicket,squeaks,0.74,3,TRUE,TRUE
0a053a020885bf42ef821cc479d85309,1,response,2,2pedagogical,flower,Dax,has a black center,0.7,3,TRUE,TRUE
0a053a020885bf42ef821cc479d85309,1,response,3,2pedagogical,bird,Fep,has white wings,0.67,3,TRUE,TRUE
0ac4597a9724cc8a95f6a111f0a38c34,1,id,1,3pedagogical,flower,Dax,has a black center,1,3,TRUE,TRUE
0ac4597a9724cc8a95f6a111f0a38c34,1,id,2,3pedagogical,artifact,Blicket,squeaks,1,3,TRUE,TRUE
0ac4597a9724cc8a95f6a111f0a38c34,1,id,3,3pedagogical,bird,Fep,has white wings,1,3,TRUE,TRUE
0ac4597a9724cc8a95f6a111f0a38c34,1,response,1,3pedagogical,flower,Dax,has a black center,0.92,3,TRUE,TRUE
0ac4597a9724cc8a95f6a111f0a38c34,1,response,2,3pedagogical,artifact,Blicket,squeaks,0.94,3,TRUE,TRUE
