language,enjoyment,asses,age,gender,education,comments,problems,fairprice,exptid,workerid
English,1,Yes,57,Female,3,,No,85,1,d8d62c57840c8e0a51fb72860bfe164e
English,2,Yes,29,Male,2,,no,.75 is ok,1,5eff2a5b97feb14f554ebc51944dae7a
English,1,Yes,36,Male,3,,,1,1,9c0696f8a30375dec907d03d42d93b32
english,1,Yes,72,Male,1,good survey,no,75,1,df3af676f167171a8a1843af689c870f
English,2,Yes,29,Male,2,,no,75,1,e0a1c0e64daab0819b1db0d4897f7ff3
english,2,Yes,36,Male,3,,no,.6,1,642a49df72926489f79a7c5b94275b79
English,2,Yes,45,Male,2,,No.,Yes,1,fe89fc556ab0eb0cdeb156e94f9bfa62
english,2,Yes,28,Female,1,,,.75,1,1cc85b35466fee53c2e5803e5fac9598
English,1,Yes,40,Female,3,Its very interesting survey.,no,7,1,5e57b0e7b99fcd6d62ec6c8a75543836
English,2,Yes,40,Female,3,,No,1.00,1,a7cb89440bf644f18e0ed6878cce32b5
English,2,Confused,26,Female,0,,,.75,1,637f7e5a6aa0ec3c3e18213566590268
english,1,Yes,50,Female,2,,no,yes,1,3a3f39850dc2c6205962b460f087ece4
English,1,Yes,25,Male,2,,No,0.75,1,89d5c13591a787067f4abb3b55ec9303
Spanish,1,Yes,26,Male,3,"The repeating phrase became hypnotic and song-like. If that wasn't intentional, it could affect the outcome of your results.",,2$,1,5f781de81861f05f62b6d44c5ebe3d93
English,1,Yes,27,Male,3,"No comments, it all made sense and was cute~",No problems!,.75,1,28f7c07b9f7aba654ae0f7ed872873f1
English,1,Yes,28,Female,3,very nice task,no,1,1,dc71b7ca22ff8a882d624bc665b32b4e
english,2,Yes,26,Male,1,was fun thanks,no,0.50,1,d94dfc66537c84e693bdfe623cc2bb80
English,2,Yes,39,Female,2,No comments.,No.,0.80,1,93c62d41407447456dd338c2b2299ec4
English,1,Yes,36,Male,3,,,.75,1,9c0696f8a30375dec907d03d42d93b32
English,1,No,34,Female,3,,none,0.75,1,ce4bbee643a276459545f5492b0f5aac
English,2,Yes,51,Female,4,Just the right length and interesting. ,No,1.00,1,fcae08f2d0eae15f88cc075ef84950b4
English,2,Yes,37,Male,3,,no,.80,1,3841cdf562c6a2a01ba58db0dc34864b
english,1,Yes,38,Female,3,,No,0.75,1,8bd7ad893c274f22ebdfa5cea8733697
United States,2,Yes,42,Male,1,,no,0.75,1,c57782a4b3ef49679915e2010a276de5
English,2,Yes,25,Male,2,,,0.75,1,fc00f47015ccb1e48cc262392710b8c1
english,1,Yes,20,Male,1,,no,this pay is great,1,a22f12750983b92b938458c831b8a36a
ENGLISH,2,Yes,47,Female,4,,NO,$1,1,8e4078d8d094fbe4ec6651c81e6c829e
English,1,Yes,30,Male,3,Nice,No,.75,1,703efe5a0d00cdfd8f70865ce33e75e9
english,1,Yes,28,Male,1,,no issues,1.00,1,649427444a02af7b390b87bac33ca643
English,2,Yes,62,Female,3,,none,2,1,327c5f70b91cd5c431ce81db11b8e7ab
English,2,Yes,22,Male,3,,No,.75,1,7302e77ae276a0cbbf3cd41120043481
,-1,NA,,,-1,,,,1,59663df403f1e22cdf81f6af46dba6b1
English,1,Yes,25,Male,3,,None,.75,1,3fb8cb0a0aaacba1d013a7096497be5e
English,2,NA,31,Male,2,,,.75,1,92c86da8b106d0799660c72f7d00d825
english,2,Yes,27,Male,4,nice,nothing,Information about the flower,1,bdf2efa319c3076de08b4bd22fac48f1
English,0,Yes,36,Male,3,lower the volume,lower the volume,1,1,5b7a51a02f8a00afda9dc0476fd9e718
English,2,Yes,68,Female,1,,no,75,1,8db6d93600cd1f7a16462698465b66fd
English,2,Yes,39,Female,3,,none,.75,1,722367d0eaeaa5e549a111fec9ad9dc8
English,2,Yes,30,Female,3,This was fun :),none,0.75,1,09b63a7d55f28286abeebcef713b80b9
English,2,Yes,56,Female,3,,no,1,1,f420416ca76af6a53d3e43c85f0942f6
english,2,Yes,53,Female,2,O.k. hit. Thanks for allowing my input.,No problems,.70,1,16ee627974e97f030d8f2c92e4fdcc64
english,1,Yes,39,Female,2,,none,yes,1,4e4edb85d1f987ec58da384ae14ae5f4
,-1,NA,,,-1,,,,1,59663df403f1e22cdf81f6af46dba6b1
English,2,Yes,37,Male,1,,no issues,.75,1,50e771dc707edad6ab2a20fac03db4be
English,2,Yes,39,Female,3,,No,1.00,1,ab315ed819cdc44130b94ea0d148cad4
English,1,Yes,32,Male,2,,no,.50,1,aab473010243744feea19302df0f331b
english,2,NA,23,Female,3,the study is more important and interested,,scientist,1,ca4f0c28cb45906538d9d389f49affbe
English,1,Yes,36,Male,3,,"No, there weren't any problems.",$0.75,1,b3d410c69fa2daa1b48423fdecdb686a
english,1,Yes,35,Male,3,,no,0.80,1,5cba068211dc8124b1eee7ca8c4f4102
English,1,No,30,Female,3,,,,1,9b75637cfdd4ff2776edefaccb98c8ce
english,2,Yes,27,Female,3,,,1.00,1,ba9f9d8a264bd28c2c48fd2b9c136c09
English,1,Yes,37,Male,3,,no,.75,1,0ec87610847ba7d866f1a10bd42adba9
English,2,Yes,32,Female,3,,no,1,1,ed66bce6e29fc8f85569c905aaaed8ab
English,2,Yes,30,Female,4,very interesting experiment.,nothing,0.75,1,560e67108ce15061ea736ff7071e2c90
English,2,Yes,44,Male,3,Blickets squeak,No issues,.75,1,4773b36ce15837b35122da528a27623d
English,1,Yes,32,Male,3,,none,.75,1,ecac4b91285d44f0d5f1a964e71a82aa
English,2,Yes,23,Male,3,,,1.0,1,602f491d5396dce1a7d84b5dfc94055d
English,2,Yes,35,Male,1,"I thought the first two objects would be at or near 100% for another of the same objects, but I picked a lower percentage for the third/flowers object having a black center because I was just thinking how flowers have such variability even among the same kinds and perhaps flowers on this other planet would potentially also have differences even though they are called or have the same name. Hope that makes sense ;) Thanks!",no,.75,1,89cb85a4d901a652cbba9f5ac1fee0bf
English,2,Yes,40,Female,4,,no,1.00,1,3ceeef0fcf15c0184e45a7fe5c395cba
English,2,Yes,52,Female,4,"Don't tell other MTurk workers I said this, but the pay for this HIT is very generous. You could lower the pay to $0.50 USD and it would still be considered well paying. Just thought I'd mention it, in case you have a limited budget. Thank you for your generosity today!!",,0.50,1,8c7bb985024fdfe0a3fa81fd6cfad502
