workerid,exptid,condition,trial_type,trial_num,kind_type,kind_label,feature_label,response
d8d62c57840c8e0a51fb72860bfe164e,1,4pedagogical,response,1,artifact,Blicket,squeaks,0.86
d8d62c57840c8e0a51fb72860bfe164e,1,4pedagogical,response,2,flower,Dax,has a black center,0.87
d8d62c57840c8e0a51fb72860bfe164e,1,4pedagogical,response,3,bird,Fep,has white wings,0.92
d8d62c57840c8e0a51fb72860bfe164e,1,4pedagogical,id,1,artifact,Blicket,squeaks,1
d8d62c57840c8e0a51fb72860bfe164e,1,4pedagogical,id,2,flower,Dax,has a black center,1
d8d62c57840c8e0a51fb72860bfe164e,1,4pedagogical,id,3,bird,Fep,has white wings,1
5eff2a5b97feb14f554ebc51944dae7a,1,4pedagogical,response,1,flower,Dax,has a black center,0.96
5eff2a5b97feb14f554ebc51944dae7a,1,4pedagogical,response,2,bird,Fep,has white wings,1
5eff2a5b97feb14f554ebc51944dae7a,1,4pedagogical,response,3,artifact,Blicket,squeaks,0.98
5eff2a5b97feb14f554ebc51944dae7a,1,4pedagogical,id,1,flower,Dax,has a black center,1
5eff2a5b97feb14f554ebc51944dae7a,1,4pedagogical,id,2,bird,Fep,has white wings,1
5eff2a5b97feb14f554ebc51944dae7a,1,4pedagogical,id,3,artifact,Blicket,squeaks,1
9c0696f8a30375dec907d03d42d93b32,1,4pedagogical,response,1,bird,Fep,has white wings,0.96
9c0696f8a30375dec907d03d42d93b32,1,4pedagogical,response,2,flower,Dax,has a black center,0.96
9c0696f8a30375dec907d03d42d93b32,1,4pedagogical,response,3,artifact,Blicket,squeaks,0.96
9c0696f8a30375dec907d03d42d93b32,1,4pedagogical,id,1,bird,Fep,has white wings,1
9c0696f8a30375dec907d03d42d93b32,1,4pedagogical,id,2,flower,Dax,has a black center,1
9c0696f8a30375dec907d03d42d93b32,1,4pedagogical,id,3,artifact,Blicket,squeaks,1
df3af676f167171a8a1843af689c870f,1,4accidental,response,1,flower,Dax,has a black center,0.79
df3af676f167171a8a1843af689c870f,1,4accidental,response,2,artifact,Blicket,squeaks,0.89
df3af676f167171a8a1843af689c870f,1,4accidental,response,3,bird,Fep,has white wings,0.9
df3af676f167171a8a1843af689c870f,1,4accidental,id,1,flower,Dax,has a black center,1
df3af676f167171a8a1843af689c870f,1,4accidental,id,2,artifact,Blicket,squeaks,0
df3af676f167171a8a1843af689c870f,1,4accidental,id,3,bird,Fep,has white wings,1
e0a1c0e64daab0819b1db0d4897f7ff3,1,4accidental,response,1,flower,Dax,has a black center,0.99
e0a1c0e64daab0819b1db0d4897f7ff3,1,4accidental,response,2,bird,Fep,has white wings,1
e0a1c0e64daab0819b1db0d4897f7ff3,1,4accidental,response,3,artifact,Blicket,squeaks,1
e0a1c0e64daab0819b1db0d4897f7ff3,1,4accidental,id,1,flower,Dax,has a black center,1
e0a1c0e64daab0819b1db0d4897f7ff3,1,4accidental,id,2,bird,Fep,has white wings,1
e0a1c0e64daab0819b1db0d4897f7ff3,1,4accidental,id,3,artifact,Blicket,squeaks,1
642a49df72926489f79a7c5b94275b79,1,4accidental,response,1,artifact,Blicket,squeaks,1
642a49df72926489f79a7c5b94275b79,1,4accidental,response,2,bird,Fep,has white wings,0.13
642a49df72926489f79a7c5b94275b79,1,4accidental,response,3,flower,Dax,has a black center,0.9
642a49df72926489f79a7c5b94275b79,1,4accidental,id,1,artifact,Blicket,squeaks,1
642a49df72926489f79a7c5b94275b79,1,4accidental,id,2,bird,Fep,has white wings,1
642a49df72926489f79a7c5b94275b79,1,4accidental,id,3,flower,Dax,has a black center,1
fe89fc556ab0eb0cdeb156e94f9bfa62,1,4pedagogical,response,1,bird,Fep,has white wings,0
fe89fc556ab0eb0cdeb156e94f9bfa62,1,4pedagogical,response,2,flower,Dax,has a black center,1
fe89fc556ab0eb0cdeb156e94f9bfa62,1,4pedagogical,response,3,artifact,Blicket,squeaks,1
fe89fc556ab0eb0cdeb156e94f9bfa62,1,4pedagogical,id,1,bird,Fep,has white wings,1
fe89fc556ab0eb0cdeb156e94f9bfa62,1,4pedagogical,id,2,flower,Dax,has a black center,1
fe89fc556ab0eb0cdeb156e94f9bfa62,1,4pedagogical,id,3,artifact,Blicket,squeaks,1
1cc85b35466fee53c2e5803e5fac9598,1,4accidental,response,1,bird,Fep,has white wings,1
1cc85b35466fee53c2e5803e5fac9598,1,4accidental,response,2,artifact,Blicket,squeaks,1
1cc85b35466fee53c2e5803e5fac9598,1,4accidental,response,3,flower,Dax,has a black center,1
1cc85b35466fee53c2e5803e5fac9598,1,4accidental,id,1,bird,Fep,has white wings,1
1cc85b35466fee53c2e5803e5fac9598,1,4accidental,id,2,artifact,Blicket,squeaks,1
1cc85b35466fee53c2e5803e5fac9598,1,4accidental,id,3,flower,Dax,has a black center,1
5e57b0e7b99fcd6d62ec6c8a75543836,1,4pedagogical,response,1,flower,Dax,has a black center,0.54
5e57b0e7b99fcd6d62ec6c8a75543836,1,4pedagogical,response,2,bird,Fep,has white wings,0.74
5e57b0e7b99fcd6d62ec6c8a75543836,1,4pedagogical,response,3,artifact,Blicket,squeaks,0.88
5e57b0e7b99fcd6d62ec6c8a75543836,1,4pedagogical,id,1,flower,Dax,has a black center,1
5e57b0e7b99fcd6d62ec6c8a75543836,1,4pedagogical,id,2,bird,Fep,has white wings,1
5e57b0e7b99fcd6d62ec6c8a75543836,1,4pedagogical,id,3,artifact,Blicket,squeaks,1
a7cb89440bf644f18e0ed6878cce32b5,1,4pedagogical,response,1,flower,Dax,has a black center,0.95
a7cb89440bf644f18e0ed6878cce32b5,1,4pedagogical,response,2,artifact,Blicket,squeaks,0.93
a7cb89440bf644f18e0ed6878cce32b5,1,4pedagogical,response,3,bird,Fep,has white wings,0.93
a7cb89440bf644f18e0ed6878cce32b5,1,4pedagogical,id,1,flower,Dax,has a black center,1
a7cb89440bf644f18e0ed6878cce32b5,1,4pedagogical,id,2,artifact,Blicket,squeaks,1
a7cb89440bf644f18e0ed6878cce32b5,1,4pedagogical,id,3,bird,Fep,has white wings,1
637f7e5a6aa0ec3c3e18213566590268,1,4pedagogical,response,1,artifact,Blicket,squeaks,1
637f7e5a6aa0ec3c3e18213566590268,1,4pedagogical,response,2,flower,Dax,has a black center,1
637f7e5a6aa0ec3c3e18213566590268,1,4pedagogical,response,3,bird,Fep,has white wings,1
637f7e5a6aa0ec3c3e18213566590268,1,4pedagogical,id,1,artifact,Blicket,squeaks,1
637f7e5a6aa0ec3c3e18213566590268,1,4pedagogical,id,2,flower,Dax,has a black center,1
637f7e5a6aa0ec3c3e18213566590268,1,4pedagogical,id,3,bird,Fep,has white wings,1
3a3f39850dc2c6205962b460f087ece4,1,4pedagogical,response,1,bird,Fep,has white wings,1
3a3f39850dc2c6205962b460f087ece4,1,4pedagogical,response,2,artifact,Blicket,squeaks,0.92
3a3f39850dc2c6205962b460f087ece4,1,4pedagogical,response,3,flower,Dax,has a black center,1
3a3f39850dc2c6205962b460f087ece4,1,4pedagogical,id,1,bird,Fep,has white wings,1
3a3f39850dc2c6205962b460f087ece4,1,4pedagogical,id,2,artifact,Blicket,squeaks,1
3a3f39850dc2c6205962b460f087ece4,1,4pedagogical,id,3,flower,Dax,has a black center,1
89d5c13591a787067f4abb3b55ec9303,1,4pedagogical,response,1,artifact,Blicket,squeaks,1
89d5c13591a787067f4abb3b55ec9303,1,4pedagogical,response,2,flower,Dax,has a black center,1
89d5c13591a787067f4abb3b55ec9303,1,4pedagogical,response,3,bird,Fep,has white wings,1
89d5c13591a787067f4abb3b55ec9303,1,4pedagogical,id,1,artifact,Blicket,squeaks,1
89d5c13591a787067f4abb3b55ec9303,1,4pedagogical,id,2,flower,Dax,has a black center,1
89d5c13591a787067f4abb3b55ec9303,1,4pedagogical,id,3,bird,Fep,has white wings,1
5f781de81861f05f62b6d44c5ebe3d93,1,4pedagogical,response,1,flower,Dax,has a black center,0.99
5f781de81861f05f62b6d44c5ebe3d93,1,4pedagogical,response,2,bird,Fep,has white wings,1
5f781de81861f05f62b6d44c5ebe3d93,1,4pedagogical,response,3,artifact,Blicket,squeaks,1
5f781de81861f05f62b6d44c5ebe3d93,1,4pedagogical,id,1,flower,Dax,has a black center,1
5f781de81861f05f62b6d44c5ebe3d93,1,4pedagogical,id,2,bird,Fep,has white wings,1
5f781de81861f05f62b6d44c5ebe3d93,1,4pedagogical,id,3,artifact,Blicket,squeaks,1
28f7c07b9f7aba654ae0f7ed872873f1,1,4pedagogical,response,1,artifact,Blicket,squeaks,1
28f7c07b9f7aba654ae0f7ed872873f1,1,4pedagogical,response,2,bird,Fep,has white wings,0.97
28f7c07b9f7aba654ae0f7ed872873f1,1,4pedagogical,response,3,flower,Dax,has a black center,0.97
